corner,vdd_v,temperature_c,gain,status,evidence_level
TT,1.62,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.62,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,-20.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,27.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,27.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,27.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,85.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,85.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.8,85.0,16,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,-20.0,1,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
TT,1.98,-20.0,4,NOT_RUN_REQUIRES_TRANSISTOR_MODEL,TEST_DEFINITION_ONLY
