 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  0.00000000e+00  0.00000000e+00  2.65093453e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.00000000e-02  0.00000000e+00  3.02294056e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  4.00000000e-02  0.00000000e+00  3.34426908e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  6.00000000e-02  0.00000000e+00  3.60545780e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  8.00000000e-02  0.00000000e+00  3.80401823e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.00000000e-01  0.00000000e+00  3.94539160e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.20000000e-01  0.00000000e+00  4.04079527e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.40000000e-01  0.00000000e+00  4.10269973e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.60000000e-01  0.00000000e+00  4.14196696e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  1.80000000e-01  0.00000000e+00  4.16652610e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.00000000e-01  0.00000000e+00  4.18206062e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.20000000e-01  0.00000000e+00  4.19167983e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.40000000e-01  0.00000000e+00  4.19769609e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.60000000e-01  0.00000000e+00  4.20118933e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  2.80000000e-01  0.00000000e+00  4.20295108e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  3.00000000e-01  0.00000000e+00  4.20330282e+01 
 frequency       vcm_record      vcm_record      gain_db        
 1.00000000e+00  3.20000000e-01  0.00000000e+00  4.20235526e+01 
